epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,125.033,0.95457,0.50913,0.85189,0.98123,0.96484,0.98167,0.69343,1.00809,0.44131,0.86615,0.0003368,0.0003368,0.0003368
170,125.793,0.98302,0.47945,0.83966,0.97768,0.96279,0.98146,0.6876,1.0201,0.44994,0.86647,0.0003269,0.0003269,0.0003269
171,126.461,0.94522,0.4697,0.85256,0.97618,0.96044,0.98153,0.6891,1.02122,0.45427,0.86614,0.000317,0.000317,0.000317
172,127.165,1.0018,0.55653,0.85472,0.97214,0.95604,0.98092,0.6896,1.01668,0.45279,0.86328,0.0003071,0.0003071,0.0003071
173,127.889,1.04996,0.51928,0.85421,0.97662,0.94945,0.97181,0.68606,1.02031,0.45367,0.86251,0.0002972,0.0002972,0.0002972
174,128.602,0.94049,0.47958,0.84681,0.97716,0.94945,0.97191,0.67912,1.03927,0.45089,0.86538,0.0002873,0.0002873,0.0002873
175,129.285,1.00132,0.47972,0.86689,0.97716,0.95165,0.97205,0.68016,1.03626,0.44976,0.86564,0.0002774,0.0002774,0.0002774
176,129.993,0.99812,0.47424,0.85761,0.96601,0.96044,0.97132,0.67989,1.03646,0.45,0.86819,0.0002675,0.0002675,0.0002675
177,130.688,0.93495,0.45257,0.8524,0.96495,0.96264,0.97928,0.67907,1.03152,0.45051,0.86953,0.0002576,0.0002576,0.0002576
178,131.403,0.8915,0.44701,0.83609,0.97962,0.95085,0.97945,0.67799,1.03184,0.4471,0.8729,0.0002477,0.0002477,0.0002477
